year,contracts,value_amd,urgent_contracts,urgent_value_amd,urgent_share_of_count_pct,urgent_share_of_value_pct,urgent_single_source_contracts,urgent_single_source_value_amd,urgent_open_tender_contracts,urgent_open_tender_value_amd,urgent_contracts_signed_in_december,urgent_value_signed_in_december_amd,december_share_of_urgent_value_pct
2018,14985,215550862785,221,23071806232,1.47,10.7,74,780675720,147,22291130513,29,1451802370,6.29
2019,18075,241418565928,545,63471168621,3.02,26.29,314,18088478838,231,45382689783,69,6920625151,10.9
2020,18376,405043910938,1102,70521524941,6,17.41,886,9521555468,216,60999969473,124,22803502915,32.34
2021,20621,322210153447,577,102393321300,2.8,31.78,347,38988242748,230,63405078552,78,23756475701,23.2
2022,24797,582804278663,800,117715243511,3.23,20.2,255,30598753631,545,87116489881,89,5821423301,4.95
2023,28907,634305333457,1702,158189365753,5.89,24.94,1069,19760980160,633,138428385593,169,12810621296,8.1
2024,32709,825822923836,1124,347416032205,3.44,42.07,401,13432726568,723,333983305637,155,44152371501,12.71
2025,33899,731059555017,1327,283579854809,3.91,38.79,408,16499995894,919,267079858915,96,8619453934,3.04
2026,21742,562056781510,709,80905079728,3.26,14.39,276,9318244461,433,71586835267,0,0,0
