year,month,contracts,value_amd,share_of_year_count_pct,share_of_year_value_pct,index_vs_even_month_count,index_vs_even_month_value,single_source_contracts,single_source_share_of_count_pct,single_source_value_amd,single_source_share_of_month_value_pct,urgent_contracts,urgent_share_of_count_pct,urgent_value_amd,urgent_share_of_month_value_pct,urgent_open_tender_value_amd,top_buyer_of_month,top_buyer_share_of_month_value_pct,year_contracts,year_value_amd
2022,11,2162,59873167175,8.72,10.27,1.05,1.23,654,30.25,8794505627,14.69,110,5.09,20588583888,34.39,16919349380,«Հոգեկան առողջության պահպանման ազգային կենտրոն» ՓԲԸ,36.63,24797,582804278663
2022,12,2457,39266581436,9.91,6.74,1.19,0.81,824,33.54,12939940175,32.95,89,3.62,5821423301,14.83,2211074828,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,19.1,24797,582804278663
2023,01,3620,141284571650,12.52,22.27,1.5,2.67,1570,43.37,83645226899,59.2,42,1.16,1502687097,1.06,1374469197,Ministry Of health of the Republic of Armenia,56.15,28907,634305333457
2023,02,2615,48685362416,9.05,7.68,1.09,0.92,881,33.69,9831679024,20.19,116,4.44,8324039057,17.1,7055484888,Ministry Of health of the Republic of Armenia,22.55,28907,634305333457
2023,03,2883,50582308758,9.97,7.97,1.2,0.96,787,27.3,10754369470,21.26,73,2.53,24410402937,48.26,15644762457,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,50.92,28907,634305333457
2023,04,2570,32937190058,8.89,5.19,1.07,0.62,912,35.49,3016461004,9.16,52,2.02,6516451783,19.78,6375009383,Yerevan municipality,30.07,28907,634305333457
2023,05,2415,64815603129,8.35,10.22,1,1.23,661,27.37,2147172883,3.31,95,3.93,20360201174,31.41,19305386329,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,32.91,28907,634305333457
2023,06,2093,39201111789,7.24,6.18,0.87,0.74,586,28,2009236867,5.13,103,4.92,14087565885,35.94,13397260654,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,23.31,28907,634305333457
2023,07,1949,68594775294,6.74,10.81,0.81,1.3,561,28.78,1063002267,1.55,93,4.77,23163604057,33.77,22823820011,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,41.18,28907,634305333457
2023,08,1667,41258620118,5.77,6.5,0.69,0.78,476,28.55,9312121140,22.57,86,5.16,19093325948,46.28,15043330245,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,39.39,28907,634305333457
